id_cliente,idade,renda,valor_divida,dias_atraso,numero_contatos,canal_contato,regiao,acordo_ofertado,pagamento_realizado
1,56,13924,31575,167,10,WhatsApp,Centro-Oeste,0,1
2,69,19520,31197,225,12,Email,Nordeste,1,1
3,46,9655,10295,577,5,Telefone,Centro-Oeste,1,1
4,32,5083,38960,581,1,WhatsApp,Sul,1,0
5,60,17015,4718,9,0,WhatsApp,Centro-Oeste,1,1
6,25,5509,38071,236,10,WhatsApp,Nordeste,0,0
7,38,11910,12172,710,14,WhatsApp,Norte,1,1
8,56,6467,31542,685,2,WhatsApp,Sudeste,1,0
9,36,12195,36450,28,4,Email,Sudeste,1,1
10,40,10635,11509,646,14,Telefone,Norte,1,0
11,28,7222,47596,27,14,Telefone,Sul,1,0
12,28,17014,20044,550,3,Email,Centro-Oeste,0,1
13,41,12628,29881,196,6,Telefone,Centro-Oeste,1,1
14,70,5944,25787,203,3,Email,Norte,1,0
15,53,9118,3086,85,7,Email,Norte,1,1
16,57,19560,3148,30,6,WhatsApp,Nordeste,0,1
17,41,2696,40581,466,9,Email,Nordeste,1,0
18,20,13797,18601,99,8,Telefone,Sudeste,1,1
19,39,4287,45812,190,0,WhatsApp,Sul,1,0
20,70,9427,22192,12,14,Telefone,Sul,1,1
21,19,3676,7907,603,4,Telefone,Norte,0,0
22,41,10292,17754,30,12,Email,Sudeste,0,1
23,61,10671,15734,38,3,WhatsApp,Sudeste,1,1
24,47,3951,22711,572,5,Telefone,Nordeste,1,0
25,55,2128,29980,294,0,WhatsApp,Centro-Oeste,0,0
26,19,11321,48280,360,5,WhatsApp,Sul,0,0
27,38,9278,25346,655,0,WhatsApp,Sudeste,1,0
28,50,5196,43003,180,13,Telefone,Nordeste,1,1
29,29,14472,46693,112,13,Email,Nordeste,1,1
30,39,9807,48966,444,0,WhatsApp,Nordeste,0,0
31,61,6456,15821,21,7,Telefone,Centro-Oeste,1,1
32,42,11695,13146,145,1,WhatsApp,Sudeste,1,1
33,66,18576,22617,499,9,WhatsApp,Norte,1,0
34,44,2605,5393,146,12,Telefone,Norte,0,0
35,59,16917,9976,441,13,WhatsApp,Nordeste,1,1
36,45,15688,17770,421,5,Telefone,Nordeste,0,0
37,33,14102,22202,316,13,WhatsApp,Centro-Oeste,0,0
